reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp,errors
890,ST-08,unknown_model,leak,-0.339,-81.0,2026-09-08 11:05:12.042,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-947,ST-05,leak_detector,stable,,,2026-09-08 11:05:12.774,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1003,ST-99,pressure_drop_predictor,leak,1.426,,2026-09-08 11:05:15.026,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-10,,99999,,-67.6,,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
1079,unknown,unknown_model,normal,,,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
1107,unknown,unknown_model,leak,,,2026-09-08 11:05:17.771,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-06,leak_detector,-1,,-91.8,2026-09-08 11:05:18.712,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1164,ST-08,unknown_model,99999,1.912,-21.7,2026-09-08 11:05:19.294,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1166,ST-05,unknown_model,normal,1.835,-72.4,2026-09-08 11:05:19.347,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1205,ST-02,leak_detector,,-0.66,,2026-09-08 11:05:20.367,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1279,ST-99,,-1,-0.335,-81.0,2026-09-08 11:05:22.312,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1293,ST-07,,99999,-0.589,-51.3,2026-09-08 11:05:22.680,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1294,ST-99,leak_detector,drop,,,2026-09-08 11:05:22.707,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1325,ST-03,,normal,,-64.1,2026-09-08 11:05:23.522,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1343,ST-04,demand_forecaster,99999,1.181,-68.1,2026-09-08 11:05:23.993,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
1397,unknown,demand_forecaster,leak,,-80.3,2026-09-08 11:05:25.416,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-06,,,1.149,,2026-09-08 11:05:25.704,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-99,leak_detector,normal,1.552,-84.9,2026-09-08 11:05:26.252,"reading_id must be positive int; invalid station_id; confidence_score must be in [0,1]; response_time_ms must be positive"
1519,unknown,pressure_drop_predictor,stable,-0.072,-35.9,2026-09-08 11:05:28.664,"invalid station_id; confidence_score must be in [0,1]; response_time_ms must be positive"
1528,ST-08,leak_detector,99999,1.462,-53.0,2026-09-08 11:05:28.899,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1567,ST-06,pressure_drop_predictor,invalid_label,1.018,-55.5,2026-09-08 11:05:29.924,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
1591,ST-07,pressure_drop_predictor,stable,1.031,,2026-09-08 11:05:30.553,"confidence_score must be in [0,1]; response_time_ms must be positive"
,,unknown_model,normal,1.88,,2026-09-08 11:05:33.203,"reading_id must be positive int; invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
1752,ST-05,demand_forecaster,normal,,-87.1,2026-09-08 11:05:34.793,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
-335,ST-01,pressure_drop_predictor,drop,,-59.1,2026-09-08 11:05:35.575,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
1821,ST-06,demand_forecaster,,-0.538,,2026-09-08 11:05:36.620,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
1972,,unknown_model,drop,1.339,-11.1,2026-09-08 11:05:40.567,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
2012,ST-10,demand_forecaster,invalid_label,,-31.1,2026-09-08 11:05:41.642,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
-41,ST-04,,stable,1.024,-35.5,2026-09-08 11:05:42.378,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
2109,,demand_forecaster,leak,1.87,,2026-09-08 11:05:44.216,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
2155,ST-99,,drop,1.762,,2026-09-08 11:05:45.417,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-285,,demand_forecaster,drop,,-70.9,,"reading_id must be positive int; invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
2217,ST-05,unknown_model,normal,1.481,,2026-09-08 11:05:47.067,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
2283,ST-99,demand_forecaster,,,,,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
2317,ST-06,pressure_drop_predictor,normal,1.44,-58.5,2026-09-08 11:05:49.668,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
2354,unknown,unknown_model,-1,-0.312,,2026-09-08 11:05:50.626,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
2410,ST-07,unknown_model,-1,-0.124,-69.1,2026-09-08 11:05:52.094,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,,drop,,,,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
2630,ST-04,,,-0.575,,2026-09-08 11:05:57.877,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
2681,ST-08,pressure_drop_predictor,normal,1.735,-50.5,2026-09-08 11:05:59.205,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
2693,ST-99,demand_forecaster,99999,,,2026-09-08 11:05:59.518,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
2706,ST-08,pressure_drop_predictor,stable,1.555,-27.7,2026-09-08 11:05:59.860,"confidence_score must be in [0,1]; response_time_ms must be positive"
2808,,,leak,1.657,-44.2,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
-898,ST-08,unknown_model,invalid_label,1.38,,2026-09-08 11:06:05.879,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-344,ST-09,demand_forecaster,invalid_label,,-94.5,2026-09-08 11:06:05.957,"reading_id must be positive int; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
3016,ST-06,demand_forecaster,invalid_label,1.953,-7.8,,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
3047,ST-09,unknown_model,invalid_label,1.917,,2026-09-08 11:06:08.836,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3061,ST-04,unknown_model,99999,1.785,,,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
3129,ST-09,leak_detector,invalid_label,-0.072,-1.3,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
3133,ST-07,,stable,1.868,-98.7,2026-09-08 11:06:11.089,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,,99999,-0.758,,2026-09-08 11:06:13.255,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3315,ST-03,demand_forecaster,normal,-0.224,-49.6,,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
3349,unknown,,invalid_label,,,2026-09-08 11:06:16.753,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-09,leak_detector,invalid_label,1.547,,2026-09-08 11:06:18.187,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
-950,ST-07,,99999,,-76.2,2026-09-08 11:06:21.687,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3607,ST-01,demand_forecaster,,-0.597,-90.2,2026-09-08 11:06:23.545,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
-688,ST-08,demand_forecaster,normal,1.825,-74.7,2026-09-08 11:06:26.999,"reading_id must be positive int; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
3795,ST-01,leak_detector,99999,-0.969,,2026-09-08 11:06:28.486,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
-770,ST-99,,leak,-0.701,,2026-09-08 11:06:29.033,"reading_id must be positive int; invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3853,ST-09,,drop,1.275,,2026-09-08 11:06:30.026,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3866,ST-05,,normal,1.944,,2026-09-08 11:06:30.366,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
3882,ST-02,demand_forecaster,leak,,,2026-09-08 11:06:30.781,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-10,leak_detector,,-0.192,,2026-09-08 11:06:31.042,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
3921,ST-03,demand_forecaster,drop,1.45,-81.6,,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
3946,unknown,demand_forecaster,-1,,,2026-09-08 11:06:32.474,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
4045,ST-02,leak_detector,-1,,-71.7,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
4197,ST-10,leak_detector,normal,1.291,-23.7,2026-09-08 11:06:39.031,"confidence_score must be in [0,1]; response_time_ms must be positive"
4289,ST-10,leak_detector,stable,,-57.6,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
-522,ST-07,,-1,-0.46,-98.8,2026-09-08 11:06:42.242,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-07,pressure_drop_predictor,-1,,,2026-09-08 11:06:47.685,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-03,demand_forecaster,99999,-0.258,-62.2,,"reading_id must be positive int; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
-692,,demand_forecaster,leak,,-41.3,,"reading_id must be positive int; invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
4611,ST-02,unknown_model,normal,-0.406,-96.4,2026-09-08 11:06:49.990,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-05,,drop,-0.372,-91.7,2026-09-08 11:06:52.601,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-06,leak_detector,normal,-0.698,-71.8,2026-09-08 11:06:53.540,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
4903,ST-01,,,1.407,-37.7,2026-09-08 11:06:57.673,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-24,unknown,leak_detector,99999,-0.659,-79.4,2026-09-08 11:07:04.411,"reading_id must be positive int; invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
5196,ST-02,demand_forecaster,leak,1.756,-23.8,2026-09-08 11:07:05.377,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,unknown,,,-0.546,-31.6,2026-09-08 11:07:07.228,"reading_id must be positive int; invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
5276,ST-06,leak_detector,normal,1.938,,2026-09-08 11:07:07.489,"confidence_score must be in [0,1]; response_time_ms must be positive"
-544,ST-08,,invalid_label,-0.752,,2026-09-08 11:07:08.297,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
5325,unknown,pressure_drop_predictor,,,-77.0,2026-09-08 11:07:08.790,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
5358,ST-10,demand_forecaster,,-0.523,-22.7,2026-09-08 11:07:09.649,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,,leak_detector,invalid_label,1.144,,,"reading_id must be positive int; invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
,ST-06,,99999,1.619,,2026-09-08 11:07:09.940,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
5380,ST-06,leak_detector,99999,,,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
5392,ST-08,unknown_model,stable,-0.753,-74.8,,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
5405,ST-10,unknown_model,leak,1.187,,2026-09-08 11:07:10.932,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-453,ST-03,unknown_model,-1,1.644,,,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
5551,ST-08,leak_detector,99999,,,2026-09-08 11:07:14.795,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
5608,ST-04,demand_forecaster,stable,1.792,-23.1,2026-09-08 11:07:16.293,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
5626,ST-06,leak_detector,,1.315,,2026-09-08 11:07:16.764,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-03,leak_detector,leak,-0.283,,2026-09-08 11:07:16.816,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-02,demand_forecaster,normal,-0.103,-86.7,2026-09-08 11:07:17.838,"reading_id must be positive int; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
5672,ST-03,demand_forecaster,normal,1.517,,2026-09-08 11:07:18.021,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
5775,ST-10,demand_forecaster,99999,,,2026-09-08 11:07:20.716,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
5837,,leak_detector,99999,-0.357,,2026-09-08 11:07:22.342,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
5965,ST-08,leak_detector,leak,-0.424,,2026-09-08 11:07:25.690,"confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,pressure_drop_predictor,drop,1.709,,2026-09-08 11:07:25.847,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
-107,ST-07,leak_detector,,,-80.6,2026-09-08 11:07:26.135,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-99,unknown_model,,-0.482,-8.0,2026-09-08 11:07:27.127,"reading_id must be positive int; invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,pressure_drop_predictor,invalid_label,1.843,,,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
6161,ST-04,demand_forecaster,drop,-0.972,-20.8,2026-09-08 11:07:30.912,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-04,pressure_drop_predictor,invalid_label,-0.617,-84.0,2026-09-08 11:07:34.217,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
6365,ST-01,demand_forecaster,,-0.571,,2026-09-08 11:07:36.278,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
6417,ST-99,,stable,,,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
-32,ST-01,pressure_drop_predictor,leak,-0.75,-24.0,2026-09-08 11:07:38.894,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
-311,ST-02,,normal,-0.532,,2026-09-08 11:07:39.734,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
6524,unknown,unknown_model,,,,2026-09-08 11:07:40.492,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
6543,ST-09,leak_detector,stable,-0.855,,2026-09-08 11:07:40.991,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
6554,unknown,leak_detector,99999,-0.602,,2026-09-08 11:07:41.278,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
-566,ST-04,unknown_model,stable,-0.829,,2026-09-08 11:07:41.906,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
6705,ST-03,unknown_model,-1,-0.009,,,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
-214,ST-03,,99999,1.661,-33.2,2026-09-08 11:07:46.638,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-03,unknown_model,normal,-0.041,-69.4,2026-09-08 11:07:46.718,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
6795,ST-01,pressure_drop_predictor,leak,,-95.5,2026-09-08 11:07:47.660,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
6852,ST-05,demand_forecaster,invalid_label,-0.021,,2026-09-08 11:07:49.155,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
6966,ST-06,leak_detector,stable,-0.066,-59.1,2026-09-08 11:07:52.134,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
7193,,unknown_model,-1,1.027,-57.0,2026-09-08 11:07:58.090,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
7236,ST-03,pressure_drop_predictor,leak,,-55.8,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
7291,ST-09,leak_detector,-1,-0.694,,2026-09-08 11:08:00.654,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
7312,,demand_forecaster,invalid_label,-0.373,,2026-09-08 11:08:01.202,"invalid station_id; predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-07,leak_detector,stable,,-33.8,2026-09-08 11:08:02.713,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-99,leak_detector,normal,1.218,-95.0,2026-09-08 11:08:03.444,"reading_id must be positive int; invalid station_id; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-07,,stable,,-30.1,2026-09-08 11:08:03.497,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
7430,ST-03,,invalid_label,,-96.3,2026-09-08 11:08:04.357,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
7458,,unknown_model,drop,,-21.7,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
7641,ST-08,,invalid_label,-0.748,,2026-09-08 11:08:09.872,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
7658,ST-06,leak_detector,leak,1.298,-79.5,2026-09-08 11:08:10.314,"confidence_score must be in [0,1]; response_time_ms must be positive"
7664,ST-07,unknown_model,normal,-0.404,,,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
7837,ST-99,unknown_model,-1,1.906,-46.5,2026-09-08 11:08:15.004,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,pressure_drop_predictor,drop,1.011,,2026-09-08 11:08:16.239,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-07,leak_detector,drop,1.785,-52.3,2026-09-08 11:08:17.385,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
8138,ST-99,pressure_drop_predictor,99999,-0.831,,,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
,ST-01,pressure_drop_predictor,normal,-0.288,,2026-09-08 11:08:23.306,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
8222,ST-06,,,1.301,,2026-09-08 11:08:25.164,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
8318,,leak_detector,-1,,-25.2,,"invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
8324,ST-07,pressure_drop_predictor,normal,,-40.9,2026-09-08 11:08:27.829,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
8357,ST-03,,-1,,-98.8,2026-09-08 11:08:28.691,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-08,,,-0.489,-60.8,2026-09-08 11:08:29.294,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
8391,,unknown_model,,-0.015,,2026-09-08 11:08:29.609,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-05,pressure_drop_predictor,99999,,,2026-09-08 11:08:32.515,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
8560,ST-01,unknown_model,,,-7.9,2026-09-08 11:08:34.056,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
8561,ST-06,unknown_model,leak,,-27.7,2026-09-08 11:08:34.083,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-02,leak_detector,stable,1.628,-6.0,,"reading_id must be positive int; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
,ST-06,,stable,1.594,,2026-09-08 11:08:35.727,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
8701,ST-01,,-1,-0.454,,2026-09-08 11:08:37.789,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
8863,unknown,unknown_model,-1,,,2026-09-08 11:08:42.025,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
-126,,leak_detector,leak,1.031,-3.2,2026-09-08 11:08:43.256,"reading_id must be positive int; invalid station_id; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-05,unknown_model,normal,1.072,,,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
9018,ST-04,unknown_model,99999,-0.332,,2026-09-08 11:08:46.125,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
9026,ST-03,demand_forecaster,,,,2026-09-08 11:08:46.333,"predicted_label must be int 1..5000; confidence_score must be in [0,1]; response_time_ms must be positive"
-287,ST-09,pressure_drop_predictor,stable,-0.614,,2026-09-08 11:08:46.803,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive"
-313,,leak_detector,99999,,,2026-09-08 11:08:49.862,"reading_id must be positive int; invalid station_id; predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
9366,ST-05,unknown_model,leak,,,2026-09-08 11:08:55.268,"invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
9452,unknown,unknown_model,,-0.912,-58.9,2026-09-08 11:08:57.532,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive"
9484,ST-07,pressure_drop_predictor,invalid_label,,-5.0,2026-09-08 11:08:58.368,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
,ST-01,unknown_model,normal,1.683,,,"reading_id must be positive int; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
9695,ST-01,leak_detector,-1,,-99.5,2026-09-08 11:09:03.894,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive"
9765,ST-99,,drop,1.358,-55.4,,"invalid station_id; invalid model_name; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
,ST-03,leak_detector,leak,1.107,,,"reading_id must be positive int; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
9884,ST-07,pressure_drop_predictor,invalid_label,1.879,-76.4,,"predicted_label mismatch for model; confidence_score must be in [0,1]; response_time_ms must be positive; invalid timestamp"
