reading_id,station_id,model_name,predicted_label,confidence_score,response_time_ms,timestamp
47,ST-08,pressure_drop_predictor,stable,0.791,58.6,2026-09-08 11:04:49.783
48,ST-10,leak_detector,normal,0.923,36.7,2026-09-08 11:04:49.810
49,ST-05,demand_forecaster,3786,0.813,105.3,2026-09-08 11:04:49.836
50,ST-05,leak_detector,normal,1,40.4,2026-09-08 11:04:49.862
51,ST-07,pressure_drop_predictor,stable,0.852,57.6,2026-09-08 11:04:49.888
52,ST-07,demand_forecaster,1630,0.605,68.7,2026-09-08 11:04:49.915
54,ST-05,leak_detector,normal,0.889,36.6,2026-09-08 11:04:49.966
55,ST-05,demand_forecaster,4723,0.534,82.9,2026-09-08 11:04:49.992
56,ST-08,pressure_drop_predictor,drop,0.681,39.1,2026-09-08 11:04:50.023
57,ST-06,leak_detector,normal,1,16.8,2026-09-08 11:04:50.049
58,ST-07,demand_forecaster,1935,0.66,79.8,2026-09-08 11:04:50.075
59,ST-01,demand_forecaster,1246,0.528,91.8,2026-09-08 11:04:50.101
60,ST-10,leak_detector,normal,0.905,35.6,2026-09-08 11:04:50.127
61,ST-07,demand_forecaster,3436,0.803,81.6,2026-09-08 11:04:50.152
62,ST-05,pressure_drop_predictor,stable,0.894,57.9,2026-09-08 11:04:50.178
63,ST-03,leak_detector,normal,0.891,35.7,2026-09-08 11:04:50.205
64,ST-01,leak_detector,normal,0.901,25.7,2026-09-08 11:04:50.231
65,ST-10,pressure_drop_predictor,drop,0.679,46.6,2026-09-08 11:04:50.258
66,ST-07,pressure_drop_predictor,drop,0.732,36.7,2026-09-08 11:04:50.284
67,ST-03,demand_forecaster,103,0.793,71.0,2026-09-08 11:04:50.310
68,ST-09,leak_detector,leak,0.919,46.3,2026-09-08 11:04:50.336
69,ST-06,pressure_drop_predictor,drop,0.814,46.7,2026-09-08 11:04:50.362
70,ST-04,pressure_drop_predictor,drop,0.838,50.2,2026-09-08 11:04:50.388
71,ST-03,demand_forecaster,200,0.749,102.7,2026-09-08 11:04:50.413
72,ST-02,leak_detector,normal,0.82,34.0,2026-09-08 11:04:50.439
73,ST-02,leak_detector,normal,0.777,39.5,2026-09-08 11:04:50.465
74,ST-05,pressure_drop_predictor,stable,0.813,57.4,2026-09-08 11:04:50.492
75,ST-04,leak_detector,normal,0.768,42.6,2026-09-08 11:04:50.517
76,ST-02,leak_detector,normal,0.837,36.3,2026-09-08 11:04:50.543
77,ST-01,demand_forecaster,201,0.817,74.5,2026-09-08 11:04:50.569
78,ST-10,leak_detector,leak,0.877,36.3,2026-09-08 11:04:50.597
79,ST-08,leak_detector,normal,0.856,46.4,2026-09-08 11:04:50.623
80,ST-07,demand_forecaster,646,0.678,86.7,2026-09-08 11:04:50.649
81,ST-03,demand_forecaster,2289,0.689,78.4,2026-09-08 11:04:50.675
82,ST-01,pressure_drop_predictor,drop,0.735,65.4,2026-09-08 11:04:50.701
83,ST-10,leak_detector,normal,0.86,36.7,2026-09-08 11:04:50.727
84,ST-05,demand_forecaster,2899,0.621,74.2,2026-09-08 11:04:50.754
85,ST-08,pressure_drop_predictor,drop,0.892,57.4,2026-09-08 11:04:50.780
86,ST-07,leak_detector,normal,0.908,38.3,2026-09-08 11:04:50.807
87,ST-07,leak_detector,normal,0.833,22.2,2026-09-08 11:04:50.834
88,ST-03,leak_detector,normal,0.872,22.7,2026-09-08 11:04:50.860
89,ST-08,leak_detector,normal,0.904,42.0,2026-09-08 11:04:50.886
90,ST-01,pressure_drop_predictor,stable,0.723,43.6,2026-09-08 11:04:50.913
91,ST-01,pressure_drop_predictor,stable,0.822,40.8,2026-09-08 11:04:50.938
92,ST-04,leak_detector,normal,0.872,37.9,2026-09-08 11:04:50.965
93,ST-07,pressure_drop_predictor,stable,0.77,48.4,2026-09-08 11:04:50.991
94,ST-01,demand_forecaster,998,0.693,62.0,2026-09-08 11:04:51.017
95,ST-05,leak_detector,normal,0.958,43.7,2026-09-08 11:04:51.044
96,ST-08,demand_forecaster,1522,0.649,78.1,2026-09-08 11:04:51.071
97,ST-03,leak_detector,normal,1,31.9,2026-09-08 11:04:51.097
98,ST-10,pressure_drop_predictor,drop,0.715,53.3,2026-09-08 11:04:51.123
99,ST-09,pressure_drop_predictor,drop,0.668,47.9,2026-09-08 11:04:51.150
100,ST-02,leak_detector,normal,0.976,41.4,2026-09-08 11:04:51.177
101,ST-06,leak_detector,leak,0.732,35.9,2026-09-08 11:04:51.203
102,ST-06,leak_detector,normal,0.886,36.4,2026-09-08 11:04:51.228
103,ST-03,leak_detector,normal,0.805,29.2,2026-09-08 11:04:51.256
104,ST-06,pressure_drop_predictor,drop,0.754,47.3,2026-09-08 11:04:51.282
105,ST-10,pressure_drop_predictor,stable,0.817,55.0,2026-09-08 11:04:51.307
106,ST-10,leak_detector,normal,0.87,35.3,2026-09-08 11:04:51.334
107,ST-03,leak_detector,normal,0.844,44.1,2026-09-08 11:04:51.360
108,ST-06,leak_detector,normal,0.79,39.0,2026-09-08 11:04:51.386
109,ST-06,pressure_drop_predictor,drop,0.79,57.5,2026-09-08 11:04:51.412
110,ST-09,pressure_drop_predictor,drop,0.891,43.9,2026-09-08 11:04:51.438
111,ST-03,demand_forecaster,3414,0.807,99.3,2026-09-08 11:04:51.464
112,ST-02,pressure_drop_predictor,drop,0.853,65.9,2026-09-08 11:04:51.490
113,ST-03,demand_forecaster,1584,0.789,69.0,2026-09-08 11:04:51.516
114,ST-10,demand_forecaster,4729,0.574,83.0,2026-09-08 11:04:51.542
115,ST-10,leak_detector,normal,0.781,37.3,2026-09-08 11:04:51.568
116,ST-05,pressure_drop_predictor,stable,0.826,67.5,2026-09-08 11:04:51.594
117,ST-01,leak_detector,leak,0.935,33.3,2026-09-08 11:04:51.621
118,ST-03,demand_forecaster,790,0.768,61.7,2026-09-08 11:04:51.647
119,ST-07,leak_detector,normal,0.836,38.8,2026-09-08 11:04:51.673
120,ST-09,demand_forecaster,4481,0.7,98.6,2026-09-08 11:04:51.700
121,ST-04,pressure_drop_predictor,drop,0.634,69.6,2026-09-08 11:04:51.726
122,ST-09,demand_forecaster,4936,0.589,68.0,2026-09-08 11:04:51.751
124,ST-05,leak_detector,normal,0.945,20.1,2026-09-08 11:04:51.804
125,ST-08,pressure_drop_predictor,drop,0.79,55.6,2026-09-08 11:04:51.830
126,ST-07,pressure_drop_predictor,stable,0.687,59.9,2026-09-08 11:04:51.856
127,ST-07,pressure_drop_predictor,stable,0.844,61.3,2026-09-08 11:04:51.881
128,ST-02,demand_forecaster,1017,0.674,65.1,2026-09-08 11:04:51.907
129,ST-04,pressure_drop_predictor,drop,0.917,76.7,2026-09-08 11:04:51.933
130,ST-07,demand_forecaster,315,0.877,91.8,2026-09-08 11:04:51.959
131,ST-03,pressure_drop_predictor,drop,0.821,48.4,2026-09-08 11:04:51.985
132,ST-03,pressure_drop_predictor,stable,0.862,54.0,2026-09-08 11:04:52.011
133,ST-05,leak_detector,normal,0.851,35.1,2026-09-08 11:04:52.039
134,ST-05,leak_detector,normal,0.805,37.5,2026-09-08 11:04:52.065
135,ST-03,pressure_drop_predictor,stable,0.902,52.7,2026-09-08 11:04:52.091
136,ST-06,demand_forecaster,4217,0.632,75.7,2026-09-08 11:04:52.117
137,ST-08,leak_detector,normal,0.835,26.1,2026-09-08 11:04:52.144
138,ST-07,leak_detector,normal,0.923,52.5,2026-09-08 11:04:52.169
139,ST-03,demand_forecaster,4920,0.661,96.6,2026-09-08 11:04:52.195
140,ST-02,demand_forecaster,3466,0.84,88.1,2026-09-08 11:04:52.222
141,ST-10,pressure_drop_predictor,stable,0.778,59.5,2026-09-08 11:04:52.247
142,ST-07,demand_forecaster,431,0.683,114.0,2026-09-08 11:04:52.273
143,ST-05,pressure_drop_predictor,drop,0.859,51.5,2026-09-08 11:04:52.299
144,ST-03,demand_forecaster,2060,0.704,90.7,2026-09-08 11:04:52.326
145,ST-01,leak_detector,normal,0.916,37.8,2026-09-08 11:04:52.352
146,ST-07,leak_detector,leak,0.896,21.9,2026-09-08 11:04:52.377
147,ST-04,leak_detector,normal,0.914,34.7,2026-09-08 11:04:52.404
148,ST-06,leak_detector,normal,0.872,41.7,2026-09-08 11:04:52.430
149,ST-10,leak_detector,normal,0.822,36.7,2026-09-08 11:04:52.456
150,ST-02,pressure_drop_predictor,drop,0.728,32.0,2026-09-08 11:04:52.482
151,ST-07,leak_detector,normal,0.843,33.6,2026-09-08 11:04:52.508
152,ST-02,leak_detector,normal,0.884,26.9,2026-09-08 11:04:52.533
153,ST-02,pressure_drop_predictor,stable,0.911,64.0,2026-09-08 11:04:52.559
154,ST-01,demand_forecaster,2973,0.581,78.5,2026-09-08 11:04:52.586
155,ST-10,pressure_drop_predictor,stable,0.838,57.5,2026-09-08 11:04:52.612
156,ST-07,leak_detector,normal,0.79,28.9,2026-09-08 11:04:52.638
157,ST-06,demand_forecaster,629,0.821,111.3,2026-09-08 11:04:52.665
158,ST-10,demand_forecaster,4060,0.781,75.4,2026-09-08 11:04:52.691
159,ST-09,demand_forecaster,1257,0.839,79.0,2026-09-08 11:04:52.717
160,ST-02,pressure_drop_predictor,stable,0.724,49.9,2026-09-08 11:04:52.744
161,ST-08,leak_detector,leak,0.837,27.2,2026-09-08 11:04:52.770
162,ST-05,leak_detector,leak,0.842,29.4,2026-09-08 11:04:52.797
163,ST-05,pressure_drop_predictor,stable,0.776,61.2,2026-09-08 11:04:52.823
164,ST-06,leak_detector,normal,0.835,43.8,2026-09-08 11:04:52.849
165,ST-02,leak_detector,normal,0.963,31.8,2026-09-08 11:04:52.875
166,ST-09,leak_detector,normal,0.891,42.3,2026-09-08 11:04:52.902
167,ST-10,leak_detector,normal,0.919,29.5,2026-09-08 11:04:52.928
168,ST-02,demand_forecaster,160,0.808,93.8,2026-09-08 11:04:52.954
169,ST-05,pressure_drop_predictor,stable,0.627,43.8,2026-09-08 11:04:52.980
170,ST-08,demand_forecaster,1578,0.554,69.2,2026-09-08 11:04:53.006
171,ST-07,demand_forecaster,4808,0.754,94.2,2026-09-08 11:04:53.032
172,ST-04,demand_forecaster,1124,0.644,79.9,2026-09-08 11:04:53.058
173,ST-03,pressure_drop_predictor,drop,0.832,61.5,2026-09-08 11:04:53.085
174,ST-07,pressure_drop_predictor,drop,0.686,57.6,2026-09-08 11:04:53.110
175,ST-10,pressure_drop_predictor,drop,0.862,56.0,2026-09-08 11:04:53.137
176,ST-03,leak_detector,normal,0.844,39.2,2026-09-08 11:04:53.163
177,ST-03,demand_forecaster,3737,0.827,78.5,2026-09-08 11:04:53.189
178,ST-09,pressure_drop_predictor,drop,0.655,56.8,2026-09-08 11:04:53.216
179,ST-08,pressure_drop_predictor,drop,0.868,42.0,2026-09-08 11:04:53.242
180,ST-03,leak_detector,normal,0.894,46.9,2026-09-08 11:04:53.267
181,ST-07,leak_detector,normal,0.943,22.0,2026-09-08 11:04:53.294
182,ST-03,pressure_drop_predictor,drop,0.786,47.1,2026-09-08 11:04:53.321
183,ST-02,pressure_drop_predictor,stable,0.83,41.1,2026-09-08 11:04:53.347
184,ST-05,leak_detector,normal,0.804,29.6,2026-09-08 11:04:53.373
185,ST-01,leak_detector,normal,0.954,48.5,2026-09-08 11:04:53.400
186,ST-07,demand_forecaster,2748,0.63,85.0,2026-09-08 11:04:53.426
187,ST-07,pressure_drop_predictor,stable,0.801,46.0,2026-09-08 11:04:53.452
188,ST-03,leak_detector,normal,0.803,21.5,2026-09-08 11:04:53.478
189,ST-04,demand_forecaster,563,0.814,84.8,2026-09-08 11:04:53.504
190,ST-04,leak_detector,leak,0.897,40.6,2026-09-08 11:04:53.531
191,ST-09,leak_detector,normal,0.873,32.7,2026-09-08 11:04:53.557
192,ST-06,demand_forecaster,322,0.682,61.6,2026-09-08 11:04:53.583
193,ST-08,leak_detector,normal,0.925,28.7,2026-09-08 11:04:53.610
194,ST-03,leak_detector,normal,0.792,47.1,2026-09-08 11:04:53.636
195,ST-08,pressure_drop_predictor,stable,0.715,45.2,2026-09-08 11:04:53.662
196,ST-08,leak_detector,normal,0.834,26.7,2026-09-08 11:04:53.688
198,ST-03,pressure_drop_predictor,drop,0.792,61.3,2026-09-08 11:04:53.741
199,ST-05,leak_detector,normal,0.91,42.8,2026-09-08 11:04:53.767
201,ST-07,leak_detector,normal,0.837,36.2,2026-09-08 11:04:53.820
202,ST-08,leak_detector,normal,0.844,23.5,2026-09-08 11:04:53.846
203,ST-03,pressure_drop_predictor,stable,0.77,43.5,2026-09-08 11:04:53.873
204,ST-07,pressure_drop_predictor,drop,0.795,48.4,2026-09-08 11:04:53.899
205,ST-08,demand_forecaster,4781,0.62,102.3,2026-09-08 11:04:53.925
206,ST-05,pressure_drop_predictor,stable,0.822,51.5,2026-09-08 11:04:53.951
207,ST-02,leak_detector,normal,0.861,29.2,2026-09-08 11:04:53.977
208,ST-03,demand_forecaster,4973,0.714,75.7,2026-09-08 11:04:54.003
209,ST-07,pressure_drop_predictor,drop,0.883,69.7,2026-09-08 11:04:54.030
210,ST-02,pressure_drop_predictor,stable,0.731,53.8,2026-09-08 11:04:54.057
211,ST-07,leak_detector,normal,0.895,40.2,2026-09-08 11:04:54.083
212,ST-08,demand_forecaster,1759,0.524,82.1,2026-09-08 11:04:54.109
213,ST-09,leak_detector,normal,0.716,44.0,2026-09-08 11:04:54.135
214,ST-08,demand_forecaster,565,0.76,78.2,2026-09-08 11:04:54.161
215,ST-03,leak_detector,normal,0.917,44.6,2026-09-08 11:04:54.188
216,ST-05,leak_detector,normal,0.804,26.6,2026-09-08 11:04:54.215
217,ST-08,leak_detector,normal,0.948,37.7,2026-09-08 11:04:54.241
218,ST-09,demand_forecaster,3329,0.774,71.4,2026-09-08 11:04:54.267
219,ST-10,leak_detector,leak,0.768,44.6,2026-09-08 11:04:54.293
220,ST-02,demand_forecaster,3198,0.743,95.2,2026-09-08 11:04:54.319
221,ST-05,pressure_drop_predictor,stable,0.697,62.0,2026-09-08 11:04:54.344
222,ST-05,leak_detector,normal,0.966,33.2,2026-09-08 11:04:54.371
223,ST-05,demand_forecaster,862,0.68,82.2,2026-09-08 11:04:54.397
224,ST-04,leak_detector,normal,0.868,44.1,2026-09-08 11:04:54.422
225,ST-03,pressure_drop_predictor,drop,0.771,40.5,2026-09-08 11:04:54.449
226,ST-02,leak_detector,normal,0.949,39.9,2026-09-08 11:04:54.475
227,ST-04,leak_detector,normal,0.92,22.7,2026-09-08 11:04:54.505
228,ST-10,leak_detector,normal,0.889,44.6,2026-09-08 11:04:54.532
229,ST-07,pressure_drop_predictor,drop,0.705,44.1,2026-09-08 11:04:54.558
230,ST-08,leak_detector,normal,0.673,49.2,2026-09-08 11:04:54.584
231,ST-04,demand_forecaster,3401,0.459,114.9,2026-09-08 11:04:54.610
232,ST-03,pressure_drop_predictor,stable,0.901,61.3,2026-09-08 11:04:54.662
233,ST-06,leak_detector,normal,0.799,51.4,2026-09-08 11:04:54.688
234,ST-04,pressure_drop_predictor,drop,0.845,55.8,2026-09-08 11:04:54.714
235,ST-09,demand_forecaster,2301,0.651,81.0,2026-09-08 11:04:54.740
236,ST-08,demand_forecaster,673,0.65,96.5,2026-09-08 11:04:54.766
238,ST-03,leak_detector,normal,0.905,27.4,2026-09-08 11:04:54.819
239,ST-06,leak_detector,normal,0.832,32.8,2026-09-08 11:04:54.845
240,ST-01,demand_forecaster,328,0.601,84.5,2026-09-08 11:04:54.871
241,ST-04,leak_detector,normal,0.899,26.8,2026-09-08 11:04:54.897
242,ST-04,leak_detector,leak,0.842,32.7,2026-09-08 11:04:54.923
243,ST-03,pressure_drop_predictor,stable,0.65,50.9,2026-09-08 11:04:54.949
244,ST-05,leak_detector,normal,0.847,39.1,2026-09-08 11:04:54.975
245,ST-07,leak_detector,normal,0.97,25.8,2026-09-08 11:04:55.001
246,ST-02,pressure_drop_predictor,drop,0.918,74.6,2026-09-08 11:04:55.028
247,ST-03,pressure_drop_predictor,stable,0.749,52.3,2026-09-08 11:04:55.053
248,ST-04,demand_forecaster,1089,0.651,91.7,2026-09-08 11:04:55.081
249,ST-06,leak_detector,normal,0.921,43.5,2026-09-08 11:04:55.106
250,ST-05,demand_forecaster,3262,0.745,77.9,2026-09-08 11:04:55.133
251,ST-08,leak_detector,normal,0.894,32.5,2026-09-08 11:04:55.159
252,ST-02,leak_detector,normal,0.845,29.7,2026-09-08 11:04:55.185
253,ST-08,demand_forecaster,1954,0.596,86.4,2026-09-08 11:04:55.211
254,ST-02,pressure_drop_predictor,drop,0.737,49.0,2026-09-08 11:04:55.238
255,ST-04,pressure_drop_predictor,drop,0.815,69.6,2026-09-08 11:04:55.264
256,ST-09,pressure_drop_predictor,stable,0.877,40.0,2026-09-08 11:04:55.291
257,ST-08,pressure_drop_predictor,drop,0.604,56.7,2026-09-08 11:04:55.317
258,ST-01,leak_detector,normal,0.845,36.3,2026-09-08 11:04:55.343
259,ST-06,pressure_drop_predictor,drop,0.686,41.6,2026-09-08 11:04:55.369
260,ST-05,pressure_drop_predictor,stable,0.718,56.1,2026-09-08 11:04:55.395
261,ST-05,demand_forecaster,4493,0.558,91.3,2026-09-08 11:04:55.421
262,ST-03,pressure_drop_predictor,stable,0.623,61.2,2026-09-08 11:04:55.447
263,ST-09,leak_detector,normal,0.788,39.1,2026-09-08 11:04:55.473
264,ST-06,demand_forecaster,2759,0.737,83.7,2026-09-08 11:04:55.500
265,ST-03,demand_forecaster,14,0.666,67.2,2026-09-08 11:04:55.526
266,ST-08,demand_forecaster,1098,0.694,83.4,2026-09-08 11:04:55.552
267,ST-05,pressure_drop_predictor,drop,0.901,49.4,2026-09-08 11:04:55.578
268,ST-05,pressure_drop_predictor,drop,0.76,45.2,2026-09-08 11:04:55.604
269,ST-01,pressure_drop_predictor,drop,0.863,52.2,2026-09-08 11:04:55.630
270,ST-03,demand_forecaster,1691,0.864,103.4,2026-09-08 11:04:55.656
271,ST-01,leak_detector,normal,0.772,31.6,2026-09-08 11:04:55.683
272,ST-05,leak_detector,normal,0.861,23.6,2026-09-08 11:04:55.709
273,ST-03,pressure_drop_predictor,stable,0.773,65.2,2026-09-08 11:04:55.735
274,ST-03,pressure_drop_predictor,drop,0.804,39.8,2026-09-08 11:04:55.761
275,ST-07,pressure_drop_predictor,stable,0.761,57.3,2026-09-08 11:04:55.787
276,ST-10,demand_forecaster,1933,0.643,71.8,2026-09-08 11:04:55.814
277,ST-06,pressure_drop_predictor,stable,0.647,62.8,2026-09-08 11:04:55.840
278,ST-09,leak_detector,normal,0.988,28.4,2026-09-08 11:04:55.880
279,ST-10,pressure_drop_predictor,stable,0.67,52.8,2026-09-08 11:04:55.909
280,ST-02,pressure_drop_predictor,drop,0.794,59.5,2026-09-08 11:04:55.935
281,ST-10,demand_forecaster,1476,0.608,49.5,2026-09-08 11:04:55.961
282,ST-10,demand_forecaster,4226,0.808,81.5,2026-09-08 11:04:55.989
283,ST-06,pressure_drop_predictor,drop,0.588,56.0,2026-09-08 11:04:56.015
285,ST-05,pressure_drop_predictor,drop,0.77,45.3,2026-09-08 11:04:56.067
286,ST-03,demand_forecaster,3567,0.961,75.7,2026-09-08 11:04:56.094
287,ST-04,leak_detector,normal,0.961,28.3,2026-09-08 11:04:56.120
288,ST-07,demand_forecaster,2931,0.681,70.7,2026-09-08 11:04:56.147
289,ST-06,leak_detector,normal,0.914,34.3,2026-09-08 11:04:56.173
290,ST-09,demand_forecaster,1584,0.631,89.3,2026-09-08 11:04:56.200
291,ST-01,demand_forecaster,395,0.64,93.8,2026-09-08 11:04:56.226
292,ST-08,leak_detector,normal,0.915,39.4,2026-09-08 11:04:56.252
293,ST-09,pressure_drop_predictor,drop,0.852,48.1,2026-09-08 11:04:56.278
294,ST-02,demand_forecaster,259,0.648,89.5,2026-09-08 11:04:56.304
295,ST-07,demand_forecaster,761,0.712,70.3,2026-09-08 11:04:56.331
296,ST-02,pressure_drop_predictor,stable,0.71,64.7,2026-09-08 11:04:56.357
297,ST-10,pressure_drop_predictor,stable,0.835,47.1,2026-09-08 11:04:56.383
298,ST-09,demand_forecaster,3656,0.58,64.3,2026-09-08 11:04:56.409
299,ST-01,leak_detector,normal,1,39.4,2026-09-08 11:04:56.436
300,ST-05,demand_forecaster,4008,0.756,101.5,2026-09-08 11:04:56.462
301,ST-08,leak_detector,normal,0.993,30.1,2026-09-08 11:04:56.488
302,ST-05,pressure_drop_predictor,stable,0.691,56.9,2026-09-08 11:04:56.514
303,ST-08,leak_detector,normal,0.893,38.5,2026-09-08 11:04:56.540
304,ST-01,pressure_drop_predictor,stable,0.774,57.0,2026-09-08 11:04:56.567
305,ST-01,pressure_drop_predictor,stable,0.894,53.6,2026-09-08 11:04:56.625
306,ST-08,pressure_drop_predictor,drop,0.824,62.4,2026-09-08 11:04:56.660
307,ST-01,pressure_drop_predictor,stable,0.818,57.3,2026-09-08 11:04:56.686
308,ST-03,demand_forecaster,3347,0.912,92.2,2026-09-08 11:04:56.712
309,ST-06,leak_detector,normal,0.945,38.9,2026-09-08 11:04:56.738
310,ST-07,demand_forecaster,1966,0.788,90.7,2026-09-08 11:04:56.765
311,ST-01,demand_forecaster,1702,0.84,46.2,2026-09-08 11:04:56.791
312,ST-08,demand_forecaster,2617,0.715,77.1,2026-09-08 11:04:56.817
313,ST-04,leak_detector,normal,0.897,42.0,2026-09-08 11:04:56.843
314,ST-07,pressure_drop_predictor,drop,0.858,48.7,2026-09-08 11:04:56.869
315,ST-07,pressure_drop_predictor,stable,0.744,50.7,2026-09-08 11:04:56.895
316,ST-09,pressure_drop_predictor,drop,0.735,60.6,2026-09-08 11:04:56.921
317,ST-08,pressure_drop_predictor,stable,0.765,56.5,2026-09-08 11:04:56.948
318,ST-04,pressure_drop_predictor,drop,0.778,54.5,2026-09-08 11:04:56.974
319,ST-06,demand_forecaster,1359,0.619,74.8,2026-09-08 11:04:57.000
320,ST-06,pressure_drop_predictor,drop,0.8,55.1,2026-09-08 11:04:57.027
321,ST-06,pressure_drop_predictor,stable,0.699,55.0,2026-09-08 11:04:57.052
322,ST-01,pressure_drop_predictor,drop,0.694,61.2,2026-09-08 11:04:57.078
323,ST-08,leak_detector,normal,0.797,34.4,2026-09-08 11:04:57.105
324,ST-06,leak_detector,normal,0.891,21.9,2026-09-08 11:04:57.131
325,ST-01,demand_forecaster,1318,0.709,89.0,2026-09-08 11:04:57.157
326,ST-09,demand_forecaster,3020,0.601,74.3,2026-09-08 11:04:57.184
327,ST-02,leak_detector,normal,0.882,30.9,2026-09-08 11:04:57.210
328,ST-05,demand_forecaster,3918,0.853,74.1,2026-09-08 11:04:57.236
329,ST-06,leak_detector,leak,0.938,24.7,2026-09-08 11:04:57.262
330,ST-07,pressure_drop_predictor,stable,0.886,56.3,2026-09-08 11:04:57.289
331,ST-06,leak_detector,normal,0.854,38.7,2026-09-08 11:04:57.315
332,ST-02,leak_detector,normal,0.883,19.3,2026-09-08 11:04:57.341
333,ST-07,demand_forecaster,2704,0.808,79.1,2026-09-08 11:04:57.367
334,ST-06,pressure_drop_predictor,drop,0.88,45.5,2026-09-08 11:04:57.393
335,ST-03,leak_detector,normal,0.844,39.1,2026-09-08 11:04:57.419
336,ST-02,pressure_drop_predictor,stable,0.711,49.0,2026-09-08 11:04:57.446
337,ST-09,demand_forecaster,4733,0.707,81.9,2026-09-08 11:04:57.472
338,ST-10,pressure_drop_predictor,drop,0.832,61.3,2026-09-08 11:04:57.498
339,ST-02,demand_forecaster,3525,0.676,54.6,2026-09-08 11:04:57.524
340,ST-02,leak_detector,normal,0.925,36.0,2026-09-08 11:04:57.550
341,ST-08,demand_forecaster,252,0.636,93.5,2026-09-08 11:04:57.576
342,ST-07,pressure_drop_predictor,stable,0.914,45.6,2026-09-08 11:04:57.604
343,ST-07,leak_detector,normal,0.823,30.9,2026-09-08 11:04:57.630
344,ST-07,pressure_drop_predictor,stable,0.748,52.9,2026-09-08 11:04:57.656
